Channel,EbN0_dB,OFDM_BER,FCAE_BER,RPR_BER,FCAE_minus_OFDM,FCAE_relative_change_pct
Vehicular,0,0.22014583333333335,0.22291145833333334,0.221703125,0.0027656249999999938,1.2562695183117223
Vehicular,2,0.1675,0.16979166666666667,0.16577604166666668,0.002291666666666664,1.3681592039800978
Vehicular,4,0.118625,0.12092708333333334,0.12084375,0.0023020833333333435,1.9406392694064014
Vehicular,6,0.08797916666666666,0.089359375,0.08853125,0.001380208333333341,1.5687899597442663
Vehicular,8,0.0585,0.05975,0.05838541666666667,0.0012499999999999942,2.1367521367521265
Vehicular,10,0.036109375,0.036703125,0.035020833333333334,0.000593750000000004,1.6443098225876356
Vehicular,12,0.024526041666666668,0.025005208333333334,0.02509375,0.00047916666666666594,1.9537056699936262
Vehicular,14,0.015572916666666667,0.015994791666666668,0.015463541666666667,0.0004218750000000004,2.7090301003344504
Vehicular,16,0.009395833333333334,0.009619791666666667,0.008776041666666666,0.00022395833333333295,2.383592017738355
Vehicular,18,0.005317708333333333,0.005489583333333333,0.0059635416666666665,0.00017187500000000015,3.2321253672869767
Vehicular,20,0.004130208333333333,0.00425,0.003973958333333334,0.00011979166666666735,2.9003783102143927
LEO,0,0.16543229166666668,0.16891666666666666,0.165375,0.003484374999999984,2.106224223152715
LEO,2,0.09857291666666666,0.09975520833333333,0.09703125,0.0011822916666666683,1.1994082214942425
LEO,4,0.049114583333333336,0.05069791666666667,0.0479375,0.0015833333333333324,3.2237539766701993
LEO,6,0.019895833333333335,0.0206875,0.020520833333333332,0.0007916666666666662,3.979057591623034
LEO,8,0.0069010416666666664,0.0070625,0.007458333333333333,0.00016145833333333377,2.33962264150944
LEO,10,0.002015625,0.0020885416666666665,0.0026145833333333333,7.291666666666644e-05,3.6175710594315134
LEO,12,0.0010833333333333333,0.0009895833333333334,0.0006927083333333334,-9.374999999999987e-05,-8.653846153846143
LEO,14,0.00023958333333333332,0.00025,0.00021875,1.0416666666666685e-05,4.34782608695653
LEO,16,9.375e-05,0.000109375,0.00011458333333333333,1.5625e-05,16.666666666666668
LEO,18,0.00011979166666666666,0.00010416666666666667,3.125e-05,-1.5624999999999987e-05,-13.043478260869556
LEO,20,3.125e-05,3.6458333333333336e-05,4.1666666666666665e-05,5.208333333333336e-06,16.66666666666667
ISAC,0,0.24454166666666666,0.24886979166666667,0.24616666666666667,0.004328125000000016,1.7698926563298754
ISAC,2,0.194375,0.19801041666666666,0.18966666666666668,0.0036354166666666687,1.8703108252947493
ISAC,4,0.143953125,0.14759895833333334,0.14367708333333334,0.003645833333333348,2.5326531350627843
ISAC,6,0.10538020833333334,0.108671875,0.106734375,0.003291666666666665,3.123609944150643
ISAC,8,0.07683854166666666,0.07921875,0.07766145833333334,0.002380208333333342,3.0976750491425586
ISAC,10,0.05720833333333333,0.05900520833333334,0.056015625,0.0017968750000000033,3.1409322651128972
ISAC,12,0.042541666666666665,0.04453125,0.04103645833333333,0.0019895833333333363,4.676787463271309
ISAC,14,0.03370833333333333,0.03553125,0.032317708333333334,0.0018229166666666671,5.407911001236095
ISAC,16,0.026984375,0.028479166666666667,0.026484375,0.001494791666666665,5.539471144566679
ISAC,18,0.023385416666666665,0.024859375,0.0231875,0.001473958333333334,6.302895322939869
ISAC,20,0.02034375,0.021661458333333335,0.020364583333333332,0.001317708333333334,6.477214541730674
